FORGAP	FDR	file:	start	day	134			
9								
timesteps								
RelHum								
Temp								
Wind								
Press								
Cloud								
Rain								
dayno								
time								
180	88.8	29.82	0.435	1007	1	0	154	12
181	92.3	28.5	0.486	1006	0.59	0	154	13
182	80.3	30.62	0.485	1005	0.96	0	154	14
183	72.9	31.21	0.338	1004	0.76	0	154	15
184	86.5	29	0.361	1004	0.91	0	154	16
185	94.2	27.36	0.333	1004	0.75	0	154	17
186	97.5	26.21	0.176	1005	0.17	0	154	18
187	97	26.05	0.302	1006	0	0	154	19
188	98.3	25.33	0.084	1007	0	0	154	20
189	98.8	24.97	0.038	1008	0	0	154	21
190	99.1	24.77	0.002	1009	0	0	154	22
191	99.2	24.86	0	1009	0	0	154	23
192	99.4	24.9	0.014	1008	0	0	155	0
193	99.4	24.86	0.021	1007	0	0	155	1
194	99.4	24.83	0.015	1007	0	0	155	2
195	99.4	24.8	0.009	1007	0	0	155	3
196	99.4	24.79	0	1007	0	0	155	4
197	99.4	24.75	0	1007	0	0	155	5
198	99.4	24.72	0	1007	0	0	155	6
199	99.5	25.15	0	1008	1	0	155	7
200	97.6	26.71	0.012	1008	0.79	0.4	155	8
201	78.5	29.28	0.193	1008	0.78	0	155	9
202	91.8	28.21	0.275	1008	0.36	0	155	10
203	75.6	29.8	0.28	1007	0.71	0.6	155	11
204	70.5	31.78	0.632	1005	1	0	155	12
205	68.3	31.52	0.499	1004	0.7	1.4	155	13
206	89	29.28	0.429	1003	0.55	0.2	155	14
207	70.2	31.15	0.519	1002	1	0	155	15
208	96.6	26.43	0.366	1003	0.47	2.2	155	16
209	98.2	26.02	0.082	1004	0.33	1.4	155	17
210	98.9	25.88	0.103	1006	0.31	0.6	155	18
211	99.1	25.54	0.015	1006	0	0.2	155	19
212	99.1	25.26	0.018	1007	0	0	155	20
213	99.3	25.17	0.001	1008	0	0	155	21
214	99.4	25.03	0	1008	0	0	155	22
215	99.5	24.97	0	1008	0	0	155	23
216	99.5	24.75	0	1007	0	0	156	0
217	99.6	24.59	0	1006	0	0	156	1
218	99.6	24.39	0	1006	0	0	156	2
219	99.6	24.41	0	1006	0	0	156	3
220	99.6	24.37	0.001	1006	0	0	156	4
221	99.7	24.21	0.001	1006	0	0	156	5
222	99.8	24.18	0.002	1007	0	0	156	6
223	99.8	24.75	0.004	1007	1	0	156	7
224	99.7	25.91	0.019	1007	0.86	0	156	8
225	92.3	27.54	0.144	1007	0.69	0	156	9
226	91.9	27.86	0.359	1007	0.54	0.8	156	10
227	85.2	29.24	0.385	1006	0.73	0	156	11
228	86	30	0.482	1005	0.82	0	156	12
229	88	28.92	0.453	1004	0.6	0	156	13
230	84	30.22	0.231	1003	0.72	0	156	14
231	76.7	31.82	0.479	1001	1	0	156	15
232	67.62	31.46	0.446	1001	1	0	156	16
233	82.6	28.9	0.08	1003	0.49	0	156	17
234	92.3	27.82	0.142	1003	0.97	1.4	156	18
235	96.4	27	0.147	1004	0	11.6	156	19
236	94.5	26.42	0.163	1005	0	5.2	156	20
237	98.1	25.81	0.19	1007	0	0	156	21
238	99	25.32	0.154	1007	0	0	156	22
239	99.4	25.18	0.125	1007	0	0	156	23
240	99.5	25.21	0.02	1007	0	0	157	0
241	99.6	25.16	0.072	1006	0	0	157	1
242	99.6	25.22	0.1	1006	0	0.2	157	2
243	99.6	25.15	0	1005	0	0	157	3
244	99.7	25.03	0	1005	0	0	157	4
245	99.7	24.89	0.045	1006	0	0	157	5
246	99.7	24.42	0.025	1006	0	0	157	6
247	99.8	25.02	0	1007	1	0	157	7
248	99.5	25.67	0.068	1008	0.76	0	157	8
249	95.5	26.67	0.166	1008	0.51	0	157	9
250	85	28.6	0.354	1007	0.67	0	157	10
251	75.5	29.93	0.719	1006	0.85	0	157	11
252	77.9	30.19	0.718	1005	0.86	3.2	157	12
253	69.3	31.16	0.692	1004	0.96	1.2	157	13
254	75.6	30.44	0.475	1003	0.65	0.2	157	14
255	97.9	26.49	0.384	1004	0.25	0	157	15
256	98.8	26	0.263	1004	0.17	0	157	16
257	99.1	25.98	0.036	1004	0.26	0	157	17
258	99.1	25.56	0.045	1005	0.8	0	157	18
259	99.2	25.12	0.019	1005	0	0	157	19
260	99.4	24.87	0.001	1006	0	1.4	157	20
261	99.5	24.77	0.001	1007	0	0.2	157	21
262	99.6	24.93	0.028	1008	0	13.4	157	22
263	99.6	24.84	0.001	1007	0	0	157	23
264	99.7	24.92	0	1007	0	0	158	0
265	99.7	24.78	0.196	1006	0	0	158	1
266	99.7	24.61	0.005	1006	0	0	158	2
267	99.8	24.6	0	1005	0	0	158	3
268	99.8	24.5	0.002	1006	0	0	158	4
269	99.8	24.46	0	1006	0	0.2	158	5
270	99.8	24.27	0	1006	0	0	158	6
271	99.8	25.04	0	1007	1	0	158	7
272	99.6	25.66	0.053	1007	0.89	0	158	8
273	94.9	27.45	0.242	1007	0.7	0	158	9
274	84.7	29.34	0.476	1007	0.92	0	158	10
275	74.3	30.12	0.503	1006	0.78	0	158	11
276	83.1	30.69	0.538	1005	0.85	0	158	12
277	62.28	32.71	0.655	1004	0.95	0	158	13
278	66.48	32.8	0.609	1003	0.93	0	158	14
279	74.9	29.68	0.314	1003	0.52	0	158	15
280	71.8	31.04	0.32	1002	1	0	158	16
281	84.6	28.21	0.184	1003	0.61	0	158	17
282	92.6	27.13	0.011	1003	0.75	0	158	18
283	94.8	26.59	0.284	1004	0	0	158	19
284	96.5	25.99	0.214	1005	0	0	158	20
285	97	25.74	0.048	1006	0	0	158	21
286	97.4	25.4	0.057	1006	0	0	158	22
287	98.2	25.13	0.009	1007	0	0	158	23
288	98.3	25.19	0.012	1006	0	0	159	0
289	97.1	25.21	0.162	1006	0	0	159	1
290	98.5	24.88	0.017	1005	0	0	159	2
291	98.8	24.91	0.013	1005	0	0	159	3
292	98.9	24.91	0.008	1005	0	0	159	4
293	98.9	24.94	0.037	1005	0	0	159	5
294	99.1	25.04	0.025	1005	0	0	159	6
295	98.6	25.78	0.02	1006	1	0	159	7
296	94.1	27.14	0.248	1006	0.84	0	159	8
297	86.2	28.28	0.42	1006	0.67	1	159	9
298	82.1	28.54	0.552	1006	0.75	1.8	159	10
299	72.6	31.01	0.58	1005	0.89	0	159	11
300	92.5	28.53	0.449	1004	0.43	0	159	12
301	97.4	27.04	0.428	1004	0.37	0.6	159	13
302	86.7	29.62	0.431	1002	0.86	0	159	14
303	89.2	29.25	0.442	1002	0.88	0	159	15
304	97.1	25.41	0.428	1003	0.19	0	159	16
305	98.4	25.01	0.094	1003	0.15	0	159	17
306	98.7	24.81	0.064	1003	0.31	0	159	18
307	99	24.6	0.001	1004	0	0	159	19
308	99.3	24.67	0.039	1005	0	0	159	20
309	99.4	24.38	0.028	1006	0	0	159	21
310	99.5	24.22	0	1007	0	0	159	22
311	99.5	24.07	0.023	1007	0	0	159	23
312	99.6	23.99	0.029	1006	0	1.2	160	0
313	99.6	24	0.076	1006	0	12.8	160	1
314	99.6	23.97	0.036	1005	0	2.6	160	2
315	99.6	24	0.009	1005	0	0.8	160	3
316	99.7	24.06	0.185	1005	0	0.8	160	4
317	99.8	24.17	0.014	1005	0	0.2	160	5
318	99.8	24.02	0	1006	0	1.2	160	6
319	99.8	24.45	0.004	1007	1	4.4	160	7
320	99.8	24.75	0.021	1007	0.58	0.6	160	8
321	99.7	24.79	0.013	1008	0.22	0	160	9
322	99.5	24.9	0.049	1008	0.18	0	160	10
323	97.8	26.06	0.112	1007	0.42	0	160	11
324	96.2	27	0.222	1006	0.46	0	160	12
